               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11814,             0.02953,                   0,           0.0023311,                 0.2,          0.00073318,          0.00013324,             0.12275,            0.026146,                   0,                   0,                   0,                 0.1
                   1,              0.1075,            0.027482,                   0,           0.0026611,                 0.2,          0.00083576,          8.3576e-05,             0.12313,            0.024526,                   0,          9.9998e-06,          9.9998e-06,             0.09991
                   2,             0.11621,            0.027543,                   0,           0.0026151,                 0.2,          0.00082085,          0.00018357,             0.12263,            0.024482,                   0,          1.9998e-05,          1.9998e-05,             0.09982
                   3,             0.11176,            0.031721,                   0,           0.0028644,                 0.2,          0.00084018,          0.00017286,             0.12187,            0.024514,                   0,          2.9994e-05,          2.9994e-05,             0.09973
                   4,             0.11617,            0.026558,                   0,           0.0028384,                 0.2,          0.00084466,          0.00022593,             0.12058,            0.024184,                   0,          3.9986e-05,          3.9986e-05,             0.09964
                   5,             0.11707,            0.026364,                   0,           0.0048937,             0.26667,           0.0016491,          0.00032883,             0.11976,            0.024302,                   0,          4.9973e-05,          4.9973e-05,             0.09955
                   6,             0.11891,            0.027786,                   0,           0.0063745,             0.33333,           0.0025104,          0.00036091,             0.11911,            0.024405,                   0,          5.9953e-05,          5.9953e-05,             0.09946
                   7,             0.11701,            0.029654,                   0,           0.0070377,                 0.4,           0.0034856,          0.00065317,             0.11749,            0.023877,                   0,          6.9925e-05,          6.9925e-05,             0.09937
                   8,             0.11337,            0.029216,                   0,           0.0083535,             0.33333,           0.0039271,          0.00078028,             0.11443,            0.023528,                   0,          7.9888e-05,          7.9888e-05,             0.09928
                   9,             0.11227,             0.03044,                   0,           0.0071392,             0.33333,            0.003105,          0.00058938,             0.11233,            0.023031,                   0,           8.984e-05,           8.984e-05,             0.09919
                  10,             0.11131,            0.025718,                   0,            0.012408,                 0.2,           0.0045496,          0.00059109,             0.11059,            0.022123,                   0,          9.9781e-05,          9.9781e-05,              0.0991
                  11,              0.1147,            0.027614,                   0,            0.012759,                 0.2,           0.0042004,           0.0011213,             0.10877,            0.021848,                   0,          0.00010971,          0.00010971,             0.09901
                  12,             0.10714,            0.029991,                   0,            0.011196,                 0.2,           0.0035753,           0.0010042,             0.10682,            0.021659,                   0,          0.00011962,          0.00011962,             0.09892
                  13,             0.10425,            0.029929,                   0,           0.0093398,             0.13333,           0.0036501,          0.00087756,             0.10455,            0.021609,                   0,          0.00012952,          0.00012952,             0.09883
                  14,             0.10159,            0.029983,                   0,           0.0092781,             0.13333,           0.0030737,          0.00061688,             0.10285,            0.021501,                   0,           0.0001394,           0.0001394,            0.098739
                  15,             0.10045,             0.02929,                   0,           0.0093619,             0.13333,            0.002831,          0.00070794,             0.10112,            0.021402,                   0,          0.00014926,          0.00014926,            0.098649
                  16,            0.095152,            0.027651,                   0,           0.0092558,             0.13333,           0.0026252,          0.00065042,            0.099534,            0.021461,                   0,           0.0001591,           0.0001591,            0.098559
                  17,             0.09872,            0.032551,                   0,           0.0061094,             0.13333,            0.002237,          0.00055561,            0.098635,            0.021456,                   0,          0.00016893,          0.00016893,            0.098469
                  18,            0.092374,            0.029006,                   0,           0.0069356,             0.13333,           0.0022584,          0.00056315,            0.097303,            0.021349,                   0,          0.00017872,          0.00017872,            0.098379
                  19,            0.094968,            0.029104,                   0,            0.011087,             0.26667,           0.0051787,           0.0008521,            0.095056,             0.02139,                   0,           0.0001885,           0.0001885,            0.098289
                  20,            0.095132,            0.025043,                   0,             0.01396,             0.33333,           0.0064119,          0.00098152,            0.092362,            0.021878,                   0,          0.00019825,          0.00019825,            0.098198
                  21,            0.083669,             0.02862,                   0,            0.015084,                 0.4,           0.0074484,            0.001276,            0.090421,            0.021997,                   0,          0.00020798,          0.00020798,            0.098108
                  22,            0.091712,            0.026667,                   0,            0.015941,                 0.4,           0.0098218,           0.0018005,            0.088658,             0.02252,                   0,          0.00021767,          0.00021767,            0.098018
                  23,            0.081276,            0.026192,                   0,            0.020742,             0.33333,            0.013364,           0.0023543,            0.087127,            0.022336,                   0,          0.00022734,          0.00022734,            0.097927
                  24,            0.087134,            0.025805,                   0,            0.023322,             0.33333,            0.015831,           0.0038896,            0.086012,            0.022056,                   0,          0.00023698,          0.00023698,            0.097837
                  25,            0.091268,            0.025593,                   0,            0.031061,                 0.4,            0.019134,           0.0045935,            0.084743,            0.022092,                   0,          0.00024659,          0.00024659,            0.097747
                  26,            0.091222,            0.028475,                   0,            0.037217,             0.46667,            0.024686,           0.0059605,            0.083737,            0.022196,                   0,          0.00025617,          0.00025617,            0.097656
                  27,            0.086015,            0.031581,                   0,            0.035845,                 0.4,             0.02428,            0.005554,            0.082486,            0.022185,                   0,          0.00026571,          0.00026571,            0.097566
                  28,            0.077552,            0.029088,                   0,            0.041716,             0.53333,             0.03486,           0.0064053,            0.079907,            0.022529,                   0,          0.00027522,          0.00027522,            0.097475
                  29,            0.089241,            0.028752,                   0,            0.049508,             0.53333,            0.040337,           0.0074557,            0.079313,             0.02246,                   0,          0.00028469,          0.00028469,            0.097385
                  30,            0.073688,            0.024194,                   0,            0.054133,             0.53333,            0.038643,           0.0080298,            0.078306,            0.022683,                   0,          0.00029413,          0.00029413,            0.097294
                  31,            0.085391,             0.02542,                   0,            0.075853,             0.53333,             0.05763,            0.012262,            0.077793,            0.022414,                   0,          0.00030352,          0.00030352,            0.097204
                  32,            0.076224,            0.026497,                   0,             0.08334,             0.53333,             0.05708,            0.010708,            0.076622,            0.022512,                   0,          0.00031288,          0.00031288,            0.097113
                  33,            0.078166,            0.025344,                   0,            0.083538,             0.46667,            0.061033,            0.015858,            0.074547,            0.022749,                   0,           0.0003222,           0.0003222,            0.097022
                  34,            0.077379,            0.022319,                   0,             0.11806,             0.53333,            0.077033,            0.021489,            0.073854,            0.022732,                   0,          0.00033147,          0.00033147,            0.096931
                  35,            0.079488,             0.03117,                   0,            0.092557,             0.55776,             0.06508,            0.018152,            0.073232,            0.022727,                   0,           0.0003407,           0.0003407,            0.096841
                  36,             0.06694,            0.026313,                   0,             0.12796,             0.66667,            0.087035,            0.025211,            0.071732,            0.022901,                   0,          0.00034989,          0.00034989,             0.09675
                  37,            0.075839,             0.02281,                   0,                0.13,             0.53333,            0.095748,            0.031325,            0.072185,            0.022726,                   0,          0.00035903,          0.00035903,            0.096659
                  38,             0.07333,            0.024898,                   0,             0.17146,             0.53333,             0.11348,            0.036892,            0.072093,            0.022614,                   0,          0.00036812,          0.00036812,            0.096568
                  39,            0.071081,             0.02465,                   0,             0.18975,                 0.4,             0.10744,            0.034864,            0.071012,            0.022766,                   0,          0.00037717,          0.00037717,            0.096477
                  40,            0.071715,            0.022132,                   0,             0.21934,             0.46667,             0.16557,            0.070667,            0.068447,             0.02292,                   0,          0.00038617,          0.00038617,            0.096386
                  41,            0.071877,            0.036232,                   0,             0.28106,             0.52161,             0.19639,            0.066527,            0.068352,            0.022579,                   0,          0.00039511,          0.00039511,            0.096295
                  42,            0.067282,            0.029881,                   0,              0.3188,             0.53333,              0.2271,            0.067449,            0.067141,            0.022627,                   0,          0.00040401,          0.00040401,            0.096204
                  43,            0.066619,            0.026273,                   0,             0.31797,             0.46624,             0.20757,            0.057468,            0.067465,            0.022473,                   0,          0.00041285,          0.00041285,            0.096113
                  44,            0.064603,             0.02255,                   0,             0.25477,                 0.6,             0.20443,            0.066375,            0.065747,             0.02288,                   0,          0.00042165,          0.00042165,            0.096022
                  45,            0.063593,            0.032939,                   0,             0.32942,             0.46667,             0.22697,            0.080065,            0.065903,             0.02245,                   0,          0.00043038,          0.00043038,             0.09593
                  46,            0.055516,            0.027697,                   0,               0.183,             0.32868,             0.13357,            0.036713,            0.065513,            0.022439,                   0,          0.00043906,          0.00043906,            0.095839
